scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,LL-Softmax,0.0003432743088234519,0.0001468871882381298,4.696994927169773e-05,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,MM-Softmax,5.701112985183818e-05,5.488765908981463e-06,5.578223871901843e-05,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,MM-Remax,0.0001445104508990924,0.0002290227338715036,0.0001813885562027405,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,Probit,5.544554873143648e-05,1.165820516893472e-05,,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,LL-Softmax,0.0005152998655780234,0.000248161620945065,0.00011354593577449017,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,MM-Softmax,6.302127425204044e-05,1.005365610206516e-05,5.508327529785114e-05,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,MM-Remax,0.0004136856337910265,0.0018410749429659614,0.0002802471216002138,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,Probit,0.00011021319714617575,3.249876070346331e-05,,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,LL-Softmax,0.00044327330059372726,0.00019667067437313435,6.482210764649035e-05,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,MM-Softmax,5.967433643656594e-05,8.220817587601667e-06,5.7744949350387204e-05,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,MM-Remax,0.001377318760488973,0.002313972990322926,0.0006141474063177197,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,Probit,0.00016432338531094867,3.9683873964134745e-05,,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,LL-Softmax,0.0004014771737177583,0.0002286321005064817,9.97055171667519e-05,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,MM-Softmax,6.380454349982287e-05,1.2076378739488269e-05,8.838465469686326e-05,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,MM-Remax,0.0002898044990509598,0.001431026040646173,0.0005217955975893526,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,Probit,9.722096497377375e-05,3.2109609325905786e-05,,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,LL-Softmax,0.0005465917288509578,0.00027045825173266315,6.342146815661036e-05,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,MM-Softmax,3.3402349771016054e-05,1.0750697454863054e-05,6.380285768191195e-05,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,MM-Remax,0.0007066734633541029,0.0011149801029323217,0.00033387966166109037,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,Probit,0.0001810540325110417,3.6779485978486675e-05,,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,LL-Softmax,0.00024798608239076577,0.000132827051312216,5.43349216460202e-05,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,MM-Softmax,4.151250485088173e-05,5.975396375902276e-06,4.2898571416220074e-05,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,MM-Remax,0.0012380173343746032,0.0021592634046541754,0.00038013902453638257,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,Probit,0.00016377660313123752,3.5688422280254216e-05,,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,LL-Softmax,0.0005378863429550184,0.00034501649576218035,7.377261082605397e-05,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,MM-Softmax,5.323746836292942e-05,8.361755576937651e-06,4.60669033475822e-05,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,MM-Remax,0.00021312828577709845,0.00020755182243838806,0.00014955233007166616,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,Probit,0.00015628654932810308,2.401711771124862e-05,,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,LL-Softmax,0.000204236636204181,0.00018169917145911205,8.685596023445642e-05,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,MM-Softmax,4.3403773098196766e-05,9.753114307084566e-06,7.891195541933037e-05,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,MM-Remax,0.0007997556937465545,0.0011662898650977125,0.00039945581139797323,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,Probit,0.00022377720445499323,5.218479524806554e-05,,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,LL-Softmax,0.0003796286172437109,0.00013561302164710845,3.258314203316041e-05,-0.027380269183058782,0.352924317592801,0.03908808138713048,0.030951568241587162
Random - Small Var,MM-Softmax,3.2563895391032186e-05,7.0405675071860135e-06,5.0288256589385234e-05,-0.027380269183058782,0.352924317592801,0.03908808138713048,0.030951568241587162
Random - Small Var,MM-Remax,0.000978554989168155,0.0017017081404734208,0.0005642752980182291,-0.027380269183058782,0.352924317592801,0.03908808138713048,0.030951568241587162
Random - Small Var,Probit,0.0001558528187059656,3.145414279368792e-05,,-0.027380269183058782,0.352924317592801,0.03908808138713048,0.030951568241587162
Random - Small Var,LL-Softmax,0.0004174479734715089,0.00023844797073238445,9.48117640357071e-05,0.18552882522156314,0.4855637642149988,0.052057511947968704,0.02789237843451429
Random - Small Var,MM-Softmax,4.837522507990036e-05,1.069325026703525e-05,5.931129350642615e-05,0.18552882522156314,0.4855637642149988,0.052057511947968704,0.02789237843451429
Random - Small Var,MM-Remax,0.00016214209003856647,0.00038289046733541385,0.0002528599077075015,0.18552882522156314,0.4855637642149988,0.052057511947968704,0.02789237843451429
Random - Small Var,Probit,8.342396427531707e-05,2.1824901195794174e-05,,0.18552882522156314,0.4855637642149988,0.052057511947968704,0.02789237843451429
Random - Small Var,LL-Softmax,0.0008975203911708452,0.0005882176897089436,0.0001263746627885426,0.12632742312826867,0.5031346271911322,0.06062486176782641,0.02779685372308194
Random - Small Var,MM-Softmax,7.461808072594528e-05,1.1874449358384766e-05,7.800820672240118e-05,0.12632742312826867,0.5031346271911322,0.06062486176782641,0.02779685372308194
Random - Small Var,MM-Remax,0.00017669491744205497,0.0003935968289496096,0.00025081760095567484,0.12632742312826867,0.5031346271911322,0.06062486176782641,0.02779685372308194
Random - Small Var,Probit,0.0001831866940597081,2.8186996350432555e-05,,0.12632742312826867,0.5031346271911322,0.06062486176782641,0.02779685372308194
Random - Small Var,LL-Softmax,0.0002102004877155908,0.0002511178085631731,5.217124293878392e-05,-0.053748156779287216,0.4330856927739571,0.07385078123567944,0.013316828498539072
Random - Small Var,MM-Softmax,6.438115785007691e-05,1.2486037734726929e-05,8.330105067171386e-05,-0.053748156779287216,0.4330856927739571,0.07385078123567944,0.013316828498539072
Random - Small Var,MM-Remax,0.00015086558616902494,0.0015628898434227683,0.0005030140938423987,-0.053748156779287216,0.4330856927739571,0.07385078123567944,0.013316828498539072
Random - Small Var,Probit,0.00014934294083831303,3.114582210822563e-05,,-0.053748156779287216,0.4330856927739571,0.07385078123567944,0.013316828498539072
Random - Small Var,LL-Softmax,0.0007847145226447382,0.000480109177667495,5.6233629933786674e-05,-0.07242477803004085,0.5761372917579775,0.03658055975525356,0.02870456086747683
Random - Small Var,MM-Softmax,4.291026822252908e-05,1.1709133700310527e-05,3.2697747743101814e-05,-0.07242477803004085,0.5761372917579775,0.03658055975525356,0.02870456086747683
Random - Small Var,MM-Remax,0.0002309564954628494,0.00036907454606478605,0.00018294562509439034,-0.07242477803004085,0.5761372917579775,0.03658055975525356,0.02870456086747683
Random - Small Var,Probit,0.00013471863241188223,2.6467678673659344e-05,,-0.07242477803004085,0.5761372917579775,0.03658055975525356,0.02870456086747683
Random - Small Var,LL-Softmax,0.000700550346437314,0.000410486871243824,7.57598142238623e-05,-0.019173198890930478,0.5327318772898959,0.04824976244652004,0.03018075656102058
Random - Small Var,MM-Softmax,6.409962340455238e-05,1.2080412501120087e-05,4.6534144861979236e-05,-0.019173198890930478,0.5327318772898959,0.04824976244652004,0.03018075656102058
Random - Small Var,MM-Remax,0.00022875614398834543,0.0005162065277141966,0.00014802723326443865,-0.019173198890930478,0.5327318772898959,0.04824976244652004,0.03018075656102058
Random - Small Var,Probit,0.00015754678907837079,2.5858428665383845e-05,,-0.019173198890930478,0.5327318772898959,0.04824976244652004,0.03018075656102058
