,,mae_mu_a,mae_mu_a,mae_mu_a,mae_mu_a,mae_sigma_a_sq,mae_sigma_a_sq,mae_sigma_a_sq,mae_sigma_a_sq,mae_cov_z_a,mae_cov_z_a,mae_cov_z_a,mae_cov_z_a
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
scenario,method,,,,,,,,,,,,
All Negative - Large Var,LL-Softmax,0.049262,0.012722,0.022373,0.088095,688792.143191,1500222.667547,3573.54841,9725551.212679,0.34599,0.042693,0.254923,0.483616
All Negative - Large Var,MM-Remax,0.0131,0.004648,0.003348,0.031328,0.012526,0.002343,0.003353,0.014942,0.06538,0.019936,0.024145,0.131639
All Negative - Large Var,MM-Softmax,0.097419,0.017378,0.0547,0.130773,487.778687,824.812883,2.72517,6114.698334,0.386869,0.081991,0.206953,0.559189
All Negative - Large Var,Probit,0.001737,0.000553,0.000768,0.003836,0.002266,0.000425,0.001092,0.004123,,,,
All Negative - Medium Var,LL-Softmax,0.019306,0.006376,0.004588,0.038133,0.482693,0.474939,0.056423,2.528691,0.043519,0.010931,0.024065,0.068143
All Negative - Medium Var,MM-Remax,0.058824,0.010856,0.033748,0.08722,0.028821,0.014057,0.005971,0.083954,0.116634,0.030994,0.067658,0.239643
All Negative - Medium Var,MM-Softmax,0.021419,0.007745,0.004986,0.040366,0.040732,0.025407,0.008988,0.15307,0.037549,0.013873,0.009735,0.073388
All Negative - Medium Var,Probit,0.008555,0.003496,0.00198,0.02173,0.012511,0.006401,0.00311,0.03591,,,,
All Negative - Small Var,LL-Softmax,0.00051,0.000263,0.000112,0.002014,0.000398,0.000272,8.1e-05,0.002111,7.7e-05,3e-05,2.8e-05,0.000155
All Negative - Small Var,MM-Remax,0.125151,0.045756,0.099999,0.282178,0.429769,0.949354,0.010908,5.177698,0.022327,0.037417,0.0,0.145659
All Negative - Small Var,MM-Softmax,5.4e-05,2e-05,1.8e-05,0.000124,1.3e-05,7e-06,2e-06,4e-05,6.3e-05,2.2e-05,2.2e-05,0.000123
All Negative - Small Var,Probit,0.002133,0.001248,0.000337,0.006931,0.002693,0.002754,0.000335,0.022883,,,,
Competing - Large Var,LL-Softmax,0.053213,0.018317,0.019428,0.091108,2611833.083569,3950755.590973,683.442472,20619202.365476,0.247099,0.082044,0.082168,0.39403
Competing - Large Var,MM-Remax,0.000943,0.000525,0.000224,0.002945,0.005889,0.001654,0.003374,0.010434,0.008538,0.001342,0.005067,0.013464
Competing - Large Var,MM-Softmax,0.100095,0.025816,0.031818,0.145972,6240.905838,7916.61357,2.38311,40430.212924,0.413229,0.125884,0.117084,0.636852
Competing - Large Var,Probit,0.005283,0.000866,0.004018,0.007509,0.001961,0.000522,0.001135,0.003425,,,,
Competing - Medium Var,LL-Softmax,0.021567,0.012395,0.003183,0.054352,2.820324,3.493814,0.060471,17.670562,0.030791,0.016152,0.004737,0.063831
Competing - Medium Var,MM-Remax,0.000574,0.00047,6.8e-05,0.002735,0.001856,0.001343,0.000165,0.005934,0.002978,0.00157,0.000201,0.00794
Competing - Medium Var,MM-Softmax,0.024119,0.014863,0.001083,0.060762,0.131203,0.171297,0.003676,0.928464,0.035495,0.020844,0.001974,0.084624
